"LLIW","InsChange","MeanRH","WindFieldMt","SubjVertMo","SynForcng","LoLevMoistAd","Boundaries","AMInsWliScen","N34StarFcst","N0_7muVerMo","WndHodograph","ScenRel3_4","WindAloft","AreaMeso_ALS","ScenRelAMIns","CapInScen","Dewpoints","MorningCIN","CldShadeOth","Date","MorningBound","LIfr12ZDENSd","InsSclInScen","InsInMt","IRCloudCover","RHRatio","LatestCIN","QGVertMotion","MountainFcst","MvmtFeatures","SatContMoist","SfcWndShfDis","Scenario","CapChange","AMInstabMt","CurPropConv","AMCINInScen","CldShadeConv","RaoContMoist","CompPlFcst","LowLLapse","R5Fcst","PlainsFcst","MidLLapse","ScnRelPlFcst","AMDewptCalPl","CombVerMo","WindFieldPln","AreaMoDryAir","CombClouds","VISCloudCov","CombMoisture","OutflowFrMt","ScenRelAMCIN","TempDis"
"Moderate","LittleChange","Average","Westerly","Down","SigNegative","Neutral","None","Average","SIG","StrongUp","StrongWest","ACEFK","SWQuad","WeakUp","CDEJ","MoreThanAve","HighEvrywher","PartInhibit","Clear","Jul16_Aug10","Weak","N5GtLIGt_8","Average","None","Clear","MoistMDryL","PartInhibit","WeakUp","XNIL","NoMajor","Neutral","DryLine","E","LittleChange","None","Slight","MoreThanAve","None","Dry","LittleChange","Steep","SIG","SIG","ModerateOrLe","E","Stability","WeakUp","WidespdDnsl","Neutral","Clear","PC","Neutral","None","CThruK","None"
"Weak","LittleChange","Average","Westerly","Neutral","NegToPos","Neutral","Strong","LessUnstable","XNIL","StrongUp","DCVZFavor","HI","LV","WeakUp","ABI","MoreThanAve","LowSHighN","PartInhibit","Cloudy","May15_Jun14","Weak","LIGt0","LessUnstable","Weak","Clear","DryMMoistL","PartInhibit","Neutral","SIG","NoMajor","VeryWet","MovingFtorOt","I","Increasing","Weak","None","Average","None","Wet","IncCapDecIns","ModerateOrLe","SIG","XNIL","ModerateOrLe","I","Stability","WeakUp","E_NE","VeryWet","Cloudy","Cloudy","VeryWet","None","CThruK","Moving"
"Unfavorable","Increasing","Average","Westerly","WeakUp","NegToPos","WeakPos","Strong","Average","XNIL","Down","Other","ACEFK","NWQuad","Neutral","CDEJ","Average","LowEvrywhere","Stifling","Clear","May15_Jun14","Strong","LIGt0","Average","None","PC","MoistMDryL","PartInhibit","Neutral","XNIL","OtherRapid","Dry","E_W_N","C","Increasing","None","None","Average","None","Wet","IncCapDecIns","CloseToDryAd","XNIL","XNIL","CloseToDryAd","C","Instability","Neutral","LongAnticyc","Dry","Clear","Clear","Dry","None","CThruK","Other"
"Moderate","LittleChange","Average","Westerly","Neutral","LittleChange","Negative","Weak","MoreUnstable","SVR","StrongUp","StrongWest","ACEFK","NWQuad","Down","K","Average","LowEvrywhere","PartInhibit","Clear","May15_Jun14","None","LILt_8","MoreUnstable","Strong","Cloudy","DryMMoistL","PartInhibit","Down","SIG","MarkedUpper","Wet","E_W_N","K","Increasing","Weak","Moderate","LessThanAve","Marked","Neutral","IncCapDecIns","Stable","SVR","SVR","ModerateOrLe","K","Stability","Down","WidespdDnsl","Dry","Clear","Clear","Wet","Strong","CThruK","Moving"
"Moderate","Decreasing","Dry","LVorOther","Down","LittleChange","Negative","Strong","Average","SIG","WeakUp","Other","GJ","AllElse","WeakUp","G","Average","LowEvrywhere","PartInhibit","Clear","Jul2_Jul15","Weak","LIGt0","Average","Strong","Clear","Other","None","StrongUp","XNIL","NoMajor","Wet","None","G","Decreasing","Weak","Strong","Average","Marked","VeryWet","DecCapIncIns","Steep","SIG","SIG","Steep","G","Stability","WeakUp","LongAnticyc","Neutral","Clear","PC","Wet","None","CThruK","Other"
"Weak","Increasing","VeryMoist","LVorOther","Neutral","LittleChange","WeakPos","Weak","LessUnstable","XNIL","WeakUp","Other","B","LV","WeakUp","ABI","Average","Other","PartInhibit","PC","Jul16_Aug10","Strong","N1GtLIGt_4","LessUnstable","Strong","PC","DryMMoistL","None","StrongUp","SIG","NoMajor","Neutral","DenvCyclone","B","Increasing","Strong","Slight","Average","Marked","VeryWet","IncCapDecIns","Stable","SIG","XNIL","Steep","B","Stability","WeakUp","DenvCyclone","Wet","PC","PC","Wet","None","AB","None"
"Strong","Increasing","Dry","Westerly","Down","PosToNeg","StrongPos","None","MoreUnstable","SIG","WeakUp","StrongWest","GJ","NWQuad","Neutral","G","MoreThanAve","LowEvrywhere","PartInhibit","Clear","Jun15_Jul1","None","N5GtLIGt_8","MoreUnstable","None","PC","MoistMDryL","Stifling","Neutral","XNIL","MarkedUpper","Neutral","Other","G","Increasing","None","Slight","LessThanAve","None","Dry","IncCapDecIns","CloseToDryAd","SIG","SIG","CloseToDryAd","G","Instability","Neutral","LV","Dry","Clear","Clear","Dry","None","CThruK","None"
"Unfavorable","LittleChange","Dry","LVorOther","Neutral","SigNegative","Neutral","Strong","LessUnstable","XNIL","Down","Westerly","ACEFK","SWQuad","Neutral","CDEJ","MoreThanAve","HighEvrywher","PartInhibit","Clear","Jul16_Aug10","Strong","N1GtLIGt_4","LessUnstable","Strong","PC","MoistMDryL","PartInhibit","Neutral","SVR","OtherRapid","Neutral","MovingFtorOt","E","Increasing","Strong","None","LessThanAve","None","Dry","IncCapDecIns","CloseToDryAd","SVR","XNIL","ModerateOrLe","E","Stability","Neutral","SEQuad","Dry","Clear","Clear","Dry","Strong","CThruK","None"
"Weak","LittleChange","Average","LVorOther","Neutral","NegToPos","Negative","None","Average","XNIL","Down","StrongWest","ACEFK","SWQuad","Down","CDEJ","MoreThanAve","LowSHighN","None","PC","Jun15_Jul1","None","N5GtLIGt_8","Average","None","PC","MoistMDryL","PartInhibit","Down","XNIL","NoMajor","Neutral","None","E","Increasing","None","None","Average","None","Neutral","IncCapDecIns","CloseToDryAd","XNIL","XNIL","ModerateOrLe","E","Stability","Down","LV","Neutral","PC","PC","Neutral","None","CThruK","None"
"Strong","LittleChange","Average","LVorOther","Neutral","SigPositive","Neutral","Strong","Average","XNIL","Down","StrongWest","ACEFK","AllElse","Neutral","K","MoreThanAve","HighEvrywher","Stifling","Clear","Aug20_Sep15","None","N1GtLIGt_4","Average","Strong","Cloudy","DryMMoistL","PartInhibit","Neutral","SIG","StrongFront","Dry","DryLine","K","LittleChange","Weak","Moderate","MoreThanAve","Some","Wet","LittleChange","ModerateOrLe","SIG","XNIL","ModerateOrLe","K","Stability","Neutral","WidespdDnsl","VeryWet","Clear","Clear","VeryWet","Strong","CThruK","Other"
"Moderate","Increasing","Average","LVorOther","Neutral","NegToPos","StrongPos","Strong","LessUnstable","XNIL","Neutral","Westerly","ACEFK","AllElse","WeakUp","K","LessThanAve","Other","Stifling","Clear","Aug11_Aug20","Weak","N1GtLIGt_4","LessUnstable","Strong","PC","Other","None","StrongUp","SIG","StrongFront","Neutral","E_W_S","K","Decreasing","None","Strong","Average","None","Dry","DecCapIncIns","Steep","SIG","XNIL","Steep","K","Instability","WeakUp","LV","Neutral","Clear","Clear","Neutral","Strong","CThruK","None"
"Moderate","Increasing","Dry","Westerly","Down","PosToNeg","Neutral","None","Average","XNIL","Down","DCVZFavor","GJ","LV","Neutral","G","MoreThanAve","LowSHighN","TotalInhibit","Cloudy","May15_Jun14","None","N1GtLIGt_4","MoreUnstable","None","Clear","Other","PartInhibit","WeakUp","XNIL","MarkedUpper","Wet","DryLine","G","LittleChange","None","None","MoreThanAve","None","Wet","LittleChange","CloseToDryAd","XNIL","XNIL","CloseToDryAd","G","Stability","Neutral","WidespdDnsl","VeryWet","Cloudy","Cloudy","VeryWet","None","CThruK","None"
"Unfavorable","Decreasing","Average","LVorOther","WeakUp","LittleChange","StrongPos","Weak","MoreUnstable","XNIL","StrongUp","Other","GJ","LV","StrongUp","CDEJ","LessThanAve","LowAtStation","PartInhibit","PC","Aug11_Aug20","Weak","N1GtLIGt_4","MoreUnstable","Weak","Clear","DryMMoistL","PartInhibit","Neutral","XNIL","NoMajor","Dry","Other","J","Decreasing","None","None","LessThanAve","Some","Neutral","DecCapIncIns","ModerateOrLe","XNIL","XNIL","ModerateOrLe","J","Instability","StrongUp","LV","VeryWet","Clear","Clear","Wet","None","CThruK","Other"
"Unfavorable","Increasing","Average","Westerly","Neutral","PosToNeg","StrongPos","None","MoreUnstable","XNIL","Down","Other","HI","AllElse","Neutral","H","MoreThanAve","LowMtsHighPl","None","Clear","Jul16_Aug10","None","N5GtLIGt_8","MoreUnstable","Strong","Clear","DryMMoistL","Stifling","Neutral","SIG","MarkedUpper","VeryWet","MovingFtorOt","H","Increasing","Weak","None","LessThanAve","None","Neutral","IncCapDecIns","Stable","SIG","SIG","ModerateOrLe","H","Stability","Neutral","E_NE","Wet","PC","PC","Wet","Weak","CThruK","Moving"
"Weak","Decreasing","Average","Westerly","Neutral","SigPositive","Negative","Weak","MoreUnstable","XNIL","Down","DCVZFavor","ACEFK","SWQuad","Neutral","CDEJ","Average","HighEvrywher","PartInhibit","Clear","May15_Jun14","None","LILt_8","LessUnstable","Strong","Cloudy","MoistMDryL","Stifling","Neutral","XNIL","OtherRapid","Neutral","DryLine","E","LittleChange","Weak","Slight","Average","Marked","VeryWet","LittleChange","CloseToDryAd","XNIL","XNIL","ModerateOrLe","E","Instability","Neutral","WidespdDnsl","Wet","Clear","Clear","Neutral","Weak","CThruK","None"
"Strong","Increasing","Average","Westerly","WeakUp","SigNegative","Neutral","None","LessUnstable","SIG","Down","Westerly","ACEFK","SWQuad","WeakUp","CDEJ","MoreThanAve","LowAtStation","PartInhibit","Cloudy","Jul2_Jul15","None","N1GtLIGt_4","LessUnstable","Strong","Clear","MoistMDryL","None","Neutral","XNIL","OtherRapid","Dry","Other","E","Increasing","Strong","Strong","Average","Marked","VeryWet","IncCapDecIns","CloseToDryAd","SIG","SVR","ModerateOrLe","E","Stability","WeakUp","LV","VeryWet","PC","PC","VeryWet","None","CThruK","Moving"
"Unfavorable","Increasing","Average","LVorOther","StronUp","LittleChange","Neutral","Strong","Average","SVR","WeakUp","DCVZFavor","HI","NWQuad","StrongUp","H","Average","LowMtsHighPl","PartInhibit","Cloudy","Jul2_Jul15","Strong","N1GtLIGt_4","MoreUnstable","Strong","PC","DryMMoistL","None","StrongUp","SIG","OtherRapid","VeryWet","E_W_S","H","LittleChange","Weak","None","Average","Marked","Neutral","LittleChange","Stable","SVR","SVR","Steep","H","Stability","StrongUp","E_NE","Wet","PC","PC","Neutral","Strong","CThruK","Moving"
"Moderate","Increasing","Average","Westerly","Down","SigPositive","Neutral","Weak","Average","SVR","StrongUp","Westerly","D","NWQuad","WeakUp","CDEJ","Average","LowMtsHighPl","PartInhibit","Clear","May15_Jun14","None","N1GtLIGt_4","MoreUnstable","Strong","PC","MoistMDryL","None","WeakUp","SVR","MarkedUpper","Wet","None","D","LittleChange","Strong","Strong","Average","Marked","VeryWet","LittleChange","Steep","SVR","SVR","Steep","D","Instability","WeakUp","SEQuad","Wet","Clear","Clear","VeryWet","Strong","CThruK","None"
"Moderate","Increasing","Dry","LVorOther","Down","LittleChange","StrongPos","Weak","Average","XNIL","StrongUp","DCVZFavor","GJ","SWQuad","Neutral","G","MoreThanAve","LowEvrywhere","TotalInhibit","Clear","Aug11_Aug20","None","N5GtLIGt_8","Average","Strong","PC","MoistMDryL","None","Neutral","XNIL","MarkedUpper","Neutral","DryLine","G","LittleChange","Weak","Slight","MoreThanAve","Marked","Dry","LittleChange","Steep","XNIL","XNIL","CloseToDryAd","G","Stability","Neutral","LongAnticyc","Neutral","PC","PC","Neutral","Weak","CThruK","Other"
"Moderate","Decreasing","Average","LVorOther","Neutral","SigNegative","Neutral","Strong","LessUnstable","SIG","StrongUp","StrongWest","HI","SWQuad","WeakUp","ABI","LessThanAve","LowAtStation","PartInhibit","Clear","Jul16_Aug10","None","LIGt0","LessUnstable","Strong","Clear","Other","PartInhibit","Neutral","XNIL","NoMajor","Dry","E_W_S","I","LittleChange","Weak","Strong","LessThanAve","Marked","Wet","LittleChange","CloseToDryAd","SIG","SIG","Steep","I","Neutral","WeakUp","E_NE","Neutral","Clear","Clear","Neutral","Strong","CThruK","QStationary"
"Strong","Increasing","Dry","LVorOther","Neutral","LittleChange","Negative","Weak","MoreUnstable","SIG","Down","DCVZFavor","GJ","SWQuad","Neutral","G","MoreThanAve","LowEvrywhere","None","Clear","Aug20_Sep15","Weak","N5GtLIGt_8","MoreUnstable","Strong","Clear","MoistMDryL","PartInhibit","WeakUp","XNIL","NoMajor","Neutral","DryLine","G","Increasing","Weak","Slight","LessThanAve","Marked","Neutral","IncCapDecIns","ModerateOrLe","SIG","SIG","CloseToDryAd","G","Instability","Neutral","WidespdDnsl","VeryWet","Clear","Clear","Neutral","Weak","CThruK","None"
"Strong","LittleChange","Average","LVorOther","Neutral","LittleChange","Neutral","None","Average","XNIL","Down","Other","GJ","LV","Neutral","CDEJ","MoreThanAve","Other","Stifling","Clear","Jun15_Jul1","None","N1GtLIGt_4","MoreUnstable","Strong","Clear","DryMMoistL","PartInhibit","Neutral","SIG","NoMajor","Wet","None","J","Increasing","Weak","Moderate","Average","Some","Dry","IncCapDecIns","ModerateOrLe","SIG","XNIL","ModerateOrLe","J","Neutral","Neutral","LV","VeryWet","Clear","Clear","VeryWet","None","CThruK","Other"
"Moderate","Increasing","Average","LVorOther","Neutral","LittleChange","WeakPos","Weak","LessUnstable","SVR","WeakUp","DCVZFavor","ACEFK","SWQuad","Down","CDEJ","Average","LowAtStation","Stifling","Clear","Jul16_Aug10","Weak","N1GtLIGt_4","LessUnstable","Weak","Clear","MoistMDryL","PartInhibit","Down","XNIL","NoMajor","Neutral","DryLine","E","LittleChange","None","Moderate","Average","Some","Wet","LittleChange","ModerateOrLe","SVR","SVR","ModerateOrLe","E","Instability","Down","WidespdDnsl","Dry","Clear","Clear","Neutral","Weak","CThruK","QStationary"
"Moderate","Decreasing","Dry","Westerly","Down","SigNegative","Neutral","Weak","LessUnstable","XNIL","StrongUp","DCVZFavor","ACEFK","SWQuad","Neutral","CDEJ","MoreThanAve","LowAtStation","Stifling","PC","Aug20_Sep15","Weak","N5GtLIGt_8","LessUnstable","Strong","Clear","MoistMDryL","PartInhibit","Neutral","SVR","OtherRapid","Neutral","E_W_N","E","Increasing","Weak","Slight","MoreThanAve","Marked","VeryWet","IncCapDecIns","Steep","SVR","XNIL","ModerateOrLe","E","Stability","Neutral","LongAnticyc","Wet","PC","PC","Wet","Weak","CThruK","None"
"Weak","Decreasing","Dry","LVorOther","Neutral","NegToPos","Negative","Weak","MoreUnstable","XNIL","Down","StrongWest","ACEFK","NWQuad","Down","K","Average","Other","PartInhibit","PC","May15_Jun14","None","N5GtLIGt_8","Average","Weak","Clear","Other","None","Down","SIG","MarkedUpper","Neutral","DryLine","K","LittleChange","None","Slight","Average","Some","Wet","LittleChange","ModerateOrLe","SIG","XNIL","CloseToDryAd","K","Instability","Down","WidespdDnsl","Neutral","Cloudy","PC","Wet","Weak","CThruK","QStationary"
"Moderate","Decreasing","VeryMoist","LVorOther","StronUp","PosToNeg","WeakPos","Strong","LessUnstable","XNIL","WeakUp","StrongWest","B","AllElse","StrongUp","ABI","LessThanAve","LowNHighS","PartInhibit","PC","Jun15_Jul1","None","LILt_8","LessUnstable","Strong","PC","DryMMoistL","Stifling","Neutral","SIG","NoMajor","Dry","DenvCyclone","B","Decreasing","Strong","Moderate","Average","Marked","Dry","DecCapIncIns","Stable","SIG","XNIL","CloseToDryAd","B","Stability","StrongUp","DenvCyclone","Wet","PC","PC","Neutral","Strong","AB","Moving"
"Unfavorable","LittleChange","Average","LVorOther","Neutral","SigPositive","Neutral","Weak","Average","XNIL","Neutral","Westerly","ACEFK","NWQuad","Down","K","MoreThanAve","LowNHighS","PartInhibit","Clear","Aug11_Aug20","Weak","N5GtLIGt_8","Average","Strong","Clear","Other","None","Down","SVR","MarkedUpper","Wet","E_W_S","K","Increasing","Weak","Slight","Average","Some","Dry","IncCapDecIns","Steep","SVR","XNIL","Steep","K","Stability","Down","WidespdDnsl","Neutral","Clear","PC","Wet","Strong","CThruK","Moving"
"Moderate","Decreasing","VeryMoist","Westerly","Neutral","SigPositive","Negative","Weak","LessUnstable","XNIL","WeakUp","Westerly","B","LV","WeakUp","ABI","MoreThanAve","LowNHighS","Stifling","Cloudy","Aug20_Sep15","None","N1GtLIGt_4","LessUnstable","Strong","PC","Other","PartInhibit","WeakUp","SIG","NoMajor","Wet","E_W_N","B","Increasing","Strong","None","Average","Marked","Neutral","IncCapDecIns","ModerateOrLe","SIG","XNIL","ModerateOrLe","B","Stability","WeakUp","DenvCyclone","Wet","Cloudy","PC","Neutral","Strong","AB","Other"
"Strong","Decreasing","VeryMoist","LVorOther","Neutral","PosToNeg","WeakPos","Weak","Average","SIG","Down","StrongWest","B","SWQuad","Neutral","ABI","LessThanAve","HighEvrywher","None","Clear","Jun15_Jul1","None","N5GtLIGt_8","Average","Strong","Clear","MoistMDryL","PartInhibit","Down","SIG","NoMajor","Neutral","DenvCyclone","B","LittleChange","Weak","Slight","LessThanAve","Marked","Dry","LittleChange","Steep","SIG","SIG","Steep","B","Stability","Neutral","E_NE","Dry","Clear","Clear","Neutral","Strong","AB","Other"
"Weak","Increasing","Dry","LVorOther","Neutral","LittleChange","Neutral","None","LessUnstable","XNIL","Neutral","DCVZFavor","ACEFK","NWQuad","WeakUp","CDEJ","Average","LowAtStation","PartInhibit","Cloudy","Aug20_Sep15","None","N1GtLIGt_4","Average","Strong","PC","MoistMDryL","PartInhibit","StrongUp","SIG","NoMajor","Neutral","E_W_N","C","Increasing","Strong","Strong","Average","Marked","Wet","IncCapDecIns","CloseToDryAd","SIG","XNIL","CloseToDryAd","C","Neutral","WeakUp","LongAnticyc","VeryWet","Cloudy","Cloudy","VeryWet","Weak","CThruK","Other"
"Moderate","Decreasing","VeryMoist","LVorOther","Neutral","SigNegative","Negative","Weak","LessUnstable","XNIL","Down","Westerly","HI","SWQuad","Down","ABI","LessThanAve","LowSHighN","PartInhibit","PC","Aug20_Sep15","None","N1GtLIGt_4","LessUnstable","Weak","Clear","Other","PartInhibit","Down","XNIL","StrongFront","Neutral","E_W_S","I","Increasing","Weak","Moderate","LessThanAve","Some","Neutral","IncCapDecIns","CloseToDryAd","XNIL","XNIL","CloseToDryAd","I","Instability","Down","LV","Dry","PC","PC","Neutral","None","CThruK","QStationary"
"Moderate","LittleChange","Dry","LVorOther","Down","SigNegative","Neutral","Strong","LessUnstable","XNIL","Neutral","StrongWest","ACEFK","SWQuad","Neutral","ABI","Average","Other","PartInhibit","PC","Aug20_Sep15","Weak","N5GtLIGt_8","LessUnstable","Strong","Clear","DryMMoistL","None","Neutral","SIG","MarkedUpper","Wet","DenvCyclone","A","LittleChange","Weak","Moderate","Average","Marked","VeryWet","LittleChange","Stable","SIG","XNIL","Steep","A","Stability","Neutral","DenvCyclone","VeryWet","Cloudy","Cloudy","VeryWet","Strong","AB","Other"
"Strong","Increasing","Average","Westerly","Down","SigNegative","Neutral","None","MoreUnstable","XNIL","WeakUp","Other","D","AllElse","Neutral","CDEJ","Average","LowMtsHighPl","PartInhibit","Clear","Aug20_Sep15","None","N1GtLIGt_4","MoreUnstable","Strong","PC","Other","None","StrongUp","SIG","MarkedUpper","Neutral","Other","D","LittleChange","Strong","Strong","Average","None","Neutral","LittleChange","CloseToDryAd","SIG","XNIL","CloseToDryAd","D","Instability","Neutral","SEQuad","Neutral","PC","PC","Neutral","None","CThruK","QStationary"
"Strong","LittleChange","Dry","LVorOther","Neutral","NegToPos","Neutral","Strong","LessUnstable","XNIL","Down","DCVZFavor","B","SWQuad","Neutral","ABI","MoreThanAve","HighEvrywher","PartInhibit","Clear","Jul16_Aug10","Weak","N5GtLIGt_8","LessUnstable","Strong","PC","DryMMoistL","PartInhibit","Down","SVR","NoMajor","Neutral","DenvCyclone","B","Increasing","Weak","Slight","LessThanAve","Marked","Neutral","IncCapDecIns","ModerateOrLe","SVR","XNIL","CloseToDryAd","B","Stability","Neutral","SEQuad","Neutral","PC","PC","Neutral","Strong","AB","Other"
"Weak","Decreasing","Dry","LVorOther","Neutral","PosToNeg","Neutral","Weak","LessUnstable","SIG","Neutral","StrongWest","B","SWQuad","Neutral","ABI","Average","LowNHighS","None","PC","Aug20_Sep15","None","N1GtLIGt_4","LessUnstable","None","PC","MoistMDryL","Stifling","Neutral","XNIL","NoMajor","Dry","DenvCyclone","B","Increasing","None","None","LessThanAve","None","Wet","IncCapDecIns","ModerateOrLe","SIG","SIG","ModerateOrLe","B","Stability","Neutral","DenvCyclone","Dry","PC","PC","Dry","None","AB","Moving"
"Strong","Increasing","Dry","LVorOther","Neutral","NegToPos","WeakPos","Strong","MoreUnstable","SIG","Neutral","DCVZFavor","GJ","NWQuad","Neutral","G","Average","LowAtStation","PartInhibit","PC","May15_Jun14","Strong","N5GtLIGt_8","MoreUnstable","Strong","PC","Other","PartInhibit","Neutral","SVR","OtherRapid","Neutral","Other","G","Increasing","Strong","Strong","LessThanAve","Marked","Wet","IncCapDecIns","Steep","SVR","SIG","CloseToDryAd","G","Stability","Neutral","LongAnticyc","Neutral","PC","PC","Neutral","Strong","CThruK","None"
