"PAP","VENTLUNG","SAO2","EXPCO2","HR","HREKG","CVP","KINKEDTUBE","BP","ERRCAUTER","PULMEMBOLUS","SHUNT","MINVOLSET","CATECHOL","ERRLOWOUTPUT","FIO2","LVEDVOLUME","INTUBATION","STROKEVOLUME","PRESS","HRBP","VENTMACH","CO","MINVOL","HYPOVOLEMIA","LVFAILURE","HRSAT","INSUFFANESTH","TPR","HISTORY","VENTALV","DISCONNECT","VENTTUBE","ARTCO2","ANAPHYLAXIS","PVSAT","PCWP"
"LOW","LOW","HIGH","LOW","HIGH","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","HIGH","NORMAL","NORMAL","LOW","HIGH","NORMAL","HIGH","HIGH","TRUE","FALSE","HIGH","FALSE","LOW","FALSE","HIGH","FALSE","LOW","LOW","FALSE","HIGH","HIGH"
"NORMAL","ZERO","LOW","LOW","HIGH","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","HIGH","HIGH","HIGH","NORMAL","HIGH","ZERO","FALSE","FALSE","HIGH","FALSE","LOW","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","NORMAL"
"NORMAL","ZERO","LOW","LOW","HIGH","HIGH","LOW","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","LOW","NORMAL","NORMAL","NORMAL","HIGH","NORMAL","HIGH","ZERO","FALSE","TRUE","HIGH","FALSE","LOW","TRUE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","LOW"
"HIGH","ZERO","LOW","LOW","NORMAL","LOW","NORMAL","FALSE","HIGH","TRUE","FALSE","NORMAL","NORMAL","HIGH","TRUE","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","ZERO","FALSE","FALSE","NORMAL","FALSE","HIGH","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","NORMAL"
"NORMAL","LOW","HIGH","LOW","HIGH","HIGH","NORMAL","FALSE","HIGH","FALSE","FALSE","NORMAL","LOW","HIGH","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","ZERO","HIGH","LOW","HIGH","HIGH","FALSE","FALSE","HIGH","FALSE","NORMAL","FALSE","HIGH","FALSE","ZERO","LOW","FALSE","HIGH","NORMAL"
"NORMAL","ZERO","LOW","LOW","HIGH","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","LOW","HIGH","NORMAL","HIGH","ZERO","FALSE","FALSE","HIGH","FALSE","LOW","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","LOW"
"NORMAL","ZERO","LOW","LOW","HIGH","HIGH","NORMAL","FALSE","HIGH","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","LOW","HIGH","NORMAL","HIGH","ZERO","FALSE","FALSE","HIGH","TRUE","NORMAL","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","NORMAL"
"LOW","LOW","HIGH","LOW","NORMAL","LOW","NORMAL","FALSE","HIGH","FALSE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","HIGH","LOW","NORMAL","NORMAL","HIGH","FALSE","FALSE","LOW","FALSE","HIGH","FALSE","HIGH","TRUE","ZERO","LOW","FALSE","HIGH","NORMAL"
"NORMAL","ZERO","LOW","LOW","HIGH","HIGH","NORMAL","FALSE","HIGH","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","HIGH","NORMAL","HIGH","ZERO","FALSE","FALSE","HIGH","FALSE","NORMAL","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","NORMAL"
"NORMAL","ZERO","LOW","LOW","HIGH","HIGH","NORMAL","FALSE","HIGH","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","HIGH","HIGH","NORMAL","HIGH","ZERO","FALSE","FALSE","HIGH","FALSE","NORMAL","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","NORMAL"
"HIGH","NORMAL","LOW","NORMAL","HIGH","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","LOW","HIGH","HIGH","NORMAL","NORMAL","LOW","FALSE","FALSE","HIGH","FALSE","NORMAL","FALSE","NORMAL","FALSE","LOW","NORMAL","FALSE","LOW","NORMAL"
"NORMAL","ZERO","LOW","LOW","HIGH","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","HIGH","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","HIGH","HIGH","NORMAL","HIGH","ZERO","FALSE","FALSE","HIGH","FALSE","LOW","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","NORMAL"
"NORMAL","ZERO","LOW","LOW","HIGH","HIGH","NORMAL","FALSE","HIGH","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","HIGH","NORMAL","HIGH","ZERO","FALSE","FALSE","HIGH","FALSE","NORMAL","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","NORMAL"
"HIGH","ZERO","LOW","LOW","HIGH","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","LOW","HIGH","HIGH","NORMAL","LOW","ZERO","TRUE","FALSE","HIGH","FALSE","LOW","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","NORMAL"
"NORMAL","ZERO","LOW","LOW","HIGH","HIGH","HIGH","FALSE","LOW","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","HIGH","NORMAL","LOW","LOW","HIGH","NORMAL","LOW","ZERO","TRUE","FALSE","HIGH","TRUE","LOW","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","HIGH"
"NORMAL","ZERO","LOW","LOW","HIGH","HIGH","NORMAL","FALSE","HIGH","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","LOW","HIGH","NORMAL","HIGH","ZERO","FALSE","FALSE","HIGH","FALSE","HIGH","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","NORMAL"
"NORMAL","LOW","LOW","LOW","NORMAL","NORMAL","NORMAL","FALSE","HIGH","TRUE","FALSE","NORMAL","NORMAL","NORMAL","FALSE","NORMAL","NORMAL","NORMAL","LOW","HIGH","LOW","ZERO","NORMAL","HIGH","TRUE","TRUE","NORMAL","FALSE","HIGH","TRUE","HIGH","FALSE","ZERO","LOW","FALSE","HIGH","LOW"
"LOW","ZERO","LOW","LOW","HIGH","HIGH","NORMAL","FALSE","HIGH","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","HIGH","HIGH","NORMAL","HIGH","ZERO","FALSE","FALSE","NORMAL","FALSE","HIGH","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","NORMAL"
"NORMAL","LOW","HIGH","LOW","HIGH","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","NORMAL","LOW","HIGH","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","HIGH","HIGH","LOW","HIGH","HIGH","FALSE","FALSE","HIGH","FALSE","LOW","FALSE","HIGH","TRUE","ZERO","LOW","TRUE","HIGH","NORMAL"
"NORMAL","ZERO","LOW","LOW","HIGH","HIGH","NORMAL","FALSE","HIGH","FALSE","FALSE","HIGH","NORMAL","HIGH","FALSE","NORMAL","HIGH","NORMAL","NORMAL","NORMAL","HIGH","NORMAL","HIGH","HIGH","FALSE","FALSE","HIGH","FALSE","HIGH","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","HIGH"
"NORMAL","ZERO","LOW","ZERO","HIGH","HIGH","HIGH","FALSE","LOW","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","HIGH","NORMAL","NORMAL","HIGH","HIGH","NORMAL","HIGH","NORMAL","TRUE","FALSE","HIGH","FALSE","NORMAL","FALSE","ZERO","FALSE","LOW","HIGH","FALSE","LOW","HIGH"
"NORMAL","LOW","HIGH","LOW","HIGH","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","NORMAL","NORMAL","HIGH","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","LOW","HIGH","NORMAL","HIGH","HIGH","FALSE","FALSE","HIGH","FALSE","LOW","FALSE","HIGH","FALSE","HIGH","LOW","FALSE","HIGH","NORMAL"
"NORMAL","LOW","HIGH","LOW","HIGH","HIGH","HIGH","FALSE","LOW","FALSE","FALSE","NORMAL","LOW","HIGH","FALSE","NORMAL","HIGH","NORMAL","LOW","HIGH","LOW","LOW","LOW","ZERO","TRUE","FALSE","HIGH","FALSE","NORMAL","FALSE","HIGH","FALSE","ZERO","LOW","FALSE","HIGH","HIGH"
