Ground truth pairs,Inferred pairs,AutoFD,GL,AutoFD gd,Ground truth pairs extended,RFI-0.3
,,,EXPCO2 -> INTUBATION,,,
,,,ERRLOWOUTPUT -> INTUBATION,,,
,,,ANAPHYLAXIS -> INTUBATION,,,
,,,CATECHOL -> STROKEVOLUME,,,
,,,FIO2 -> STROKEVOLUME,,,
,,,SAO2 -> STROKEVOLUME,,,
,,,KINKEDTUBE -> STROKEVOLUME,,,
,,,LVEDVOLUME -> STROKEVOLUME,,,
,,,PCWP -> STROKEVOLUME,,,
,,,HR -> STROKEVOLUME,,,
,,,ERRLOWOUTPUT -> STROKEVOLUME,,,
,,,ERRCAUTER -> STROKEVOLUME,,,
,,,PULMEMBOLUS -> STROKEVOLUME,,,
,,,ANAPHYLAXIS -> STROKEVOLUME,,,
,,,INTUBATION -> STROKEVOLUME,,,
,,,ARTCO2 -> HRBP,,,
,,,CATECHOL -> HRBP,,,
,,,HREKG -> HRBP,,,
,,,SHUNT -> HRBP,,,
,,,SAO2 -> HRBP,,,
,,,KINKEDTUBE -> HRBP,,,
,,,LVEDVOLUME -> HRBP,,,
,,,HR -> HRBP,,,
,,,ERRLOWOUTPUT -> HRBP,,,
,,,MINVOLSET -> HRBP,,,
,,,INTUBATION -> HRBP,,,
,,,STROKEVOLUME -> HRBP,,,
,,,ARTCO2 -> CO,,,
,,,FIO2 -> CO,,,
,,,MINVOL -> CO,,,
,,,PCWP -> CO,,,
,,,EXPCO2 -> CO,,,
,,,HR -> CO,,,
,,,ERRCAUTER -> CO,,,
,,,PULMEMBOLUS -> CO,,,
,,,ANAPHYLAXIS -> CO,,,
,,,STROKEVOLUME -> CO,,,
,,,CATECHOL -> LVFAILURE,,,
,,,FIO2 -> LVFAILURE,,,
,,,KINKEDTUBE -> LVFAILURE,,,
,,,LVEDVOLUME -> LVFAILURE,,,
,,,PCWP -> LVFAILURE,,,
,,,EXPCO2 -> LVFAILURE,,,
,,,HR -> LVFAILURE,,,
,,,ERRLOWOUTPUT -> LVFAILURE,,,
,,,ERRCAUTER -> LVFAILURE,,,
,,,PULMEMBOLUS -> LVFAILURE,,,
,,,MINVOLSET -> LVFAILURE,,,
,,,ANAPHYLAXIS -> LVFAILURE,,,
,,,INTUBATION -> LVFAILURE,,,
,,,CATECHOL -> HISTORY,,,
,,,SHUNT -> HISTORY,,,
,,,SAO2 -> HISTORY,,,
,,,KINKEDTUBE -> HISTORY,,,
,,,LVEDVOLUME -> HISTORY,,,
,,,EXPCO2 -> HISTORY,,,
,,,ERRCAUTER -> HISTORY,,,
,,,INTUBATION -> HISTORY,,,
,,,STROKEVOLUME -> HISTORY,,,
,,,HRBP -> HISTORY,,,
,,,LVFAILURE -> HISTORY,,,
,,,ARTCO2 -> VENTALV,,,
,,,CATECHOL -> VENTALV,,,
,,,HREKG -> VENTALV,,,
,,,SHUNT -> VENTALV,,,
,,,SAO2 -> VENTALV,,,
,,,MINVOL -> VENTALV,,,
,,,LVEDVOLUME -> VENTALV,,,
,,,EXPCO2 -> VENTALV,,,
,,,MINVOLSET -> VENTALV,,,
,,,INTUBATION -> VENTALV,,,
,,,HRBP -> VENTALV,,,
,,,HISTORY -> VENTALV,,,
,,,ARTCO2 -> DISCONNECT,,,
,,,CATECHOL -> DISCONNECT,,,
,,,FIO2 -> DISCONNECT,,,
,,,SAO2 -> DISCONNECT,,,
,,,MINVOL -> DISCONNECT,,,
,,,KINKEDTUBE -> DISCONNECT,,,
,,,LVEDVOLUME -> DISCONNECT,,,
,,,PCWP -> DISCONNECT,,,
,,,ERRLOWOUTPUT -> DISCONNECT,,,
,,,ERRCAUTER -> DISCONNECT,,,
,,,PULMEMBOLUS -> DISCONNECT,,,
,,,ANAPHYLAXIS -> DISCONNECT,,,
,,,STROKEVOLUME -> DISCONNECT,,,
,,,HRBP -> DISCONNECT,,,
,,,LVFAILURE -> DISCONNECT,,,
,,,HISTORY -> DISCONNECT,,,
,,,VENTALV -> DISCONNECT,,,
,,,FIO2 -> VENTTUBE,,,
,,,SAO2 -> VENTTUBE,,,
,,,MINVOL -> VENTTUBE,,,
,,,KINKEDTUBE -> VENTTUBE,,,
,,,PCWP -> VENTTUBE,,,
,,,HR -> VENTTUBE,,,
,,,ERRLOWOUTPUT -> VENTTUBE,,,
,,,MINVOLSET -> VENTTUBE,,,
,,,STROKEVOLUME -> VENTTUBE,,,
,,,CO -> VENTTUBE,,,
,,,LVFAILURE -> VENTTUBE,,,
,,,HISTORY -> VENTTUBE,,,
,,,VENTALV -> VENTTUBE,,,
,,,DISCONNECT -> VENTTUBE,,,
,,,CATECHOL -> PVSAT,,,
,,,HREKG -> PVSAT,,,
,,,FIO2 -> PVSAT,,,
,,,SAO2 -> PVSAT,,,
,,,MINVOL -> PVSAT,,,
,,,LVEDVOLUME -> PVSAT,,,
,,,EXPCO2 -> PVSAT,,,
,,,HR -> PVSAT,,,
,,,ERRCAUTER -> PVSAT,,,
,,,PULMEMBOLUS -> PVSAT,,,
,,,MINVOLSET -> PVSAT,,,
,,,ANAPHYLAXIS -> PVSAT,,,
,,,STROKEVOLUME -> PVSAT,,,
,,,CO -> PVSAT,,,
,,,LVFAILURE -> PVSAT,,,
,,,VENTALV -> PVSAT,,,
,,,DISCONNECT -> PVSAT,,,
,,,VENTTUBE -> PVSAT,,,
,,,CATECHOL -> VENTLUNG,,,
,,,SAO2 -> VENTLUNG,,,
,,,MINVOL -> VENTLUNG,,,
,,,LVEDVOLUME -> VENTLUNG,,,
,,,EXPCO2 -> VENTLUNG,,,
,,,INTUBATION -> VENTLUNG,,,
,,,HRBP -> VENTLUNG,,,
,,,CO -> VENTLUNG,,,
,,,HISTORY -> VENTLUNG,,,
,,,VENTALV -> VENTLUNG,,,
,,,DISCONNECT -> VENTLUNG,,,
,,,VENTTUBE -> VENTLUNG,,,
,,,PVSAT -> VENTLUNG,,,
,,,CATECHOL -> BP,,,
,,,PULMEMBOLUS -> BP,,,
,,,MINVOLSET -> BP,,,
,,,STROKEVOLUME -> BP,,,
,,,CO -> BP,,,
,,,LVFAILURE -> BP,,,
,,,DISCONNECT -> BP,,,
,,,VENTLUNG -> BP,,,
,,,CATECHOL -> TPR,,,
,,,PULMEMBOLUS -> TPR,,,
,,,LVFAILURE -> TPR,,,
,,,VENTTUBE -> TPR,,,
,,,BP -> TPR,,,
,,,ARTCO2 -> VENTMACH,,,
,,,KINKEDTUBE -> VENTMACH,,,
,,,PCWP -> VENTMACH,,,
,,,EXPCO2 -> VENTMACH,,,
,,,HR -> VENTMACH,,,
,,,ERRLOWOUTPUT -> VENTMACH,,,
,,,ERRCAUTER -> VENTMACH,,,
,,,PULMEMBOLUS -> VENTMACH,,,
,,,MINVOLSET -> VENTMACH,,,
,,,INTUBATION -> VENTMACH,,,
,,,HISTORY -> VENTMACH,,,
,,,VENTTUBE -> VENTMACH,,,
,,,PVSAT -> VENTMACH,,,
,,,SHUNT -> PRESS,,,
,,,KINKEDTUBE -> PRESS,,,
,,,LVEDVOLUME -> PRESS,,,
,,,HR -> PRESS,,,
,,,ERRLOWOUTPUT -> PRESS,,,
,,,ERRCAUTER -> PRESS,,,
,,,ANAPHYLAXIS -> PRESS,,,
,,,INTUBATION -> PRESS,,,
,,,VENTALV -> PRESS,,,
,,,DISCONNECT -> PRESS,,,
,,,PVSAT -> PRESS,,,
,,,VENTMACH -> PRESS,,,
,,,HREKG -> HRSAT,,,
,,,FIO2 -> HRSAT,,,
,,,HR -> HRSAT,,,
,,,ERRCAUTER -> HRSAT,,,
,,,PVSAT -> HRSAT,,,
,,,ARTCO2 -> HYPOVOLEMIA,,,
,,,CATECHOL -> HYPOVOLEMIA,,,
,,,FIO2 -> HYPOVOLEMIA,,,
,,,SHUNT -> HYPOVOLEMIA,,,
,,,LVEDVOLUME -> HYPOVOLEMIA,,,
,,,EXPCO2 -> HYPOVOLEMIA,,,
,,,PULMEMBOLUS -> HYPOVOLEMIA,,,
,,,ANAPHYLAXIS -> HYPOVOLEMIA,,,
,,,STROKEVOLUME -> HYPOVOLEMIA,,,
,,,CO -> HYPOVOLEMIA,,,
,,,HISTORY -> HYPOVOLEMIA,,,
,,,DISCONNECT -> HYPOVOLEMIA,,,
,,,ARTCO2 -> INSUFFANESTH,,,
,,,FIO2 -> INSUFFANESTH,,,
,,,LVEDVOLUME -> INSUFFANESTH,,,
,,,HR -> INSUFFANESTH,,,
,,,ERRLOWOUTPUT -> INSUFFANESTH,,,
,,,ERRCAUTER -> INSUFFANESTH,,,
,,,PULMEMBOLUS -> INSUFFANESTH,,,
,,,MINVOLSET -> INSUFFANESTH,,,
,,,ANAPHYLAXIS -> INSUFFANESTH,,,
,,,INTUBATION -> INSUFFANESTH,,,
,,,STROKEVOLUME -> INSUFFANESTH,,,
,,,LVFAILURE -> INSUFFANESTH,,,
,,,HISTORY -> INSUFFANESTH,,,
,,,MINVOL -> PAP,,,
,,,PCWP -> PAP,,,
,,,PULMEMBOLUS -> PAP,,,
,,,LVEDVOLUME -> CVP,,,
,,,EXPCO2 -> CVP,,,
,,,HR -> CVP,,,
,,,ERRLOWOUTPUT -> CVP,,,
,,,PULMEMBOLUS -> CVP,,,
,,,ANAPHYLAXIS -> CVP,,,
,,,LVFAILURE -> CVP,,,
